,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,L,,0-1,@,Minnesota Vikings,16,24,20,327,237,90,4,19,343,227,116,1,-12.02,2.96,1.7
2,Sun,16-Sep,4:05PM ET,boxscore,W,,1-Jan,,Detroit Lions,30,27,23,346,156,190,,25,427,329,98,1,10.3,-8.22,4.49
3,Sun,23-Sep,1:00PM ET,boxscore,L,,2-Jan,@,Kansas City Chiefs,27,38,26,406,228,178,,31,384,307,77,,19.16,-29.69,-1.56
4,Sun,30-Sep,4:25PM ET,boxscore,L,,3-Jan,@,Los Angeles Chargers,27,29,22,364,288,76,2,21,368,242,126,1,-2.39,-3.06,0.5
5,Sun,7-Oct,4:25PM ET,boxscore,L,,4-Jan,,Arizona Cardinals,18,28,33,447,300,147,5,10,220,164,56,,-10.35,3.94,-4.12
6,Mon,15-Oct,8:15PM ET,boxscore,L,,5-Jan,@,Green Bay Packers,30,33,18,401,227,174,3,26,521,405,116,,11.1,-16.33,2.23
7,Sun,21-Oct,4:25PM ET,boxscore,L,,6-Jan,,Los Angeles Rams,10,39,16,228,121,107,4,20,339,193,146,,-19.69,-10.86,5.98
8,Sun,28-Oct,4:25PM ET,boxscore,L,,7-Jan,@,Arizona Cardinals,15,18,16,267,160,107,,20,321,233,88,2,-3.16,-6.06,2.98
9,Thu,1-Nov,8:20PM ET,boxscore,W,,7-Feb,,Oakland Raiders,34,3,18,405,262,143,,14,242,140,102,,15.9,9.22,3.46
10,Mon,12-Nov,8:15PM ET,boxscore,L,,8-Feb,,New York Giants,23,27,24,374,250,124,2,17,277,180,97,,6.78,-8.85,-0.26
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,25-Nov,1:00PM ET,boxscore,L,,9-Feb,@,Tampa Bay Buccaneers,9,27,23,342,194,148,2,25,412,304,108,,-0.52,-15.23,-1.45
13,Sun,2-Dec,4:25PM ET,boxscore,L,,10-Feb,@,Seattle Seahawks,16,43,24,452,386,66,3,21,331,163,168,,-3.97,-19.4,-4.17
14,Sun,9-Dec,4:05PM ET,boxscore,W,,10-Mar,,Denver Broncos,20,14,24,389,305,84,1,22,274,171,103,,6.46,0.26,-3.44
15,Sun,16-Dec,4:05PM ET,boxscore,W,OT,10-Apr,,Seattle Seahawks,26,23,20,351,257,94,1,18,385,217,168,,4.67,-7.17,5.04
16,Sun,23-Dec,4:05PM ET,boxscore,L,,11-Apr,,Chicago Bears,9,14,15,279,232,47,1,20,325,235,90,2,-4.05,-5.98,-1.4
17,Sun,30-Dec,4:25PM ET,boxscore,L,,12-Apr,@,Los Angeles Rams,32,48,22,391,264,127,4,28,377,222,155,,1.86,-16.59,3.88
