,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,L,,0-1,,Tampa Bay Buccaneers,40,48,26,475,432,43,2,26,529,417,112,,19.83,-29.69,4.9
2,Sun,16-Sep,1:00PM ET,boxscore,W,,1-Jan,,Cleveland Browns,21,18,18,275,213,62,2,16,327,234,93,1,-2.16,-2.85,10.01
3,Sun,23-Sep,1:00PM ET,boxscore,W,OT,1-Feb,@,Atlanta Falcons,43,37,32,534,391,143,,24,407,359,48,,26.85,-20.31,-0.47
4,Sun,30-Sep,4:25PM ET,boxscore,W,,1-Mar,@,New York Giants,33,18,25,389,219,170,,22,299,234,65,2,12.86,0.2,2.41
5,Mon,8-Oct,8:15PM ET,boxscore,W,,1-Apr,,Washington Redskins,43,19,27,447,349,98,1,18,283,244,39,2,25.98,6.22,-6.15
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,21-Oct,4:05PM ET,boxscore,W,,1-May,@,Baltimore Ravens,24,23,26,339,205,134,1,25,351,274,77,,12.99,-16.64,7.63
8,Sun,28-Oct,8:20PM ET,boxscore,W,,1-Jun,@,Minnesota Vikings,30,20,17,270,164,106,1,27,423,338,85,2,5.19,-5.3,6.75
9,Sun,4-Nov,4:25PM ET,boxscore,W,,1-Jul,,Los Angeles Rams,45,35,31,487,346,141,1,23,483,391,92,1,29.05,-20.09,8.53
10,Sun,11-Nov,1:00PM ET,boxscore,W,,1-Aug,@,Cincinnati Bengals,51,14,33,509,265,244,,13,284,174,110,2,34.52,6.87,-4.6
11,Sun,18-Nov,4:25PM ET,boxscore,W,,1-Sep,,Philadelphia Eagles,48,7,28,546,373,173,,13,196,138,58,3,35.64,11.41,-4.02
12,Thu,22-Nov,8:20PM ET,boxscore,W,,1-Oct,,Atlanta Falcons,31,17,19,312,162,150,1,21,366,340,26,4,11.04,2.35,-0.37
13,Thu,29-Nov,8:20PM ET,boxscore,L,,2-Oct,@,Dallas Cowboys,10,13,14,176,111,65,1,21,308,209,99,2,-9.57,0.16,1.7
14,Sun,9-Dec,1:00PM ET,boxscore,W,,2-Nov,@,Tampa Bay Buccaneers,28,14,19,298,198,100,2,20,279,174,105,1,1.64,1.15,10.68
15,Mon,17-Dec,8:15PM ET,boxscore,W,,2-Dec,@,Carolina Panthers,12,9,21,346,191,155,2,13,247,149,98,2,-4.68,9.06,4.46
16,Sun,23-Dec,4:25PM ET,boxscore,W,,13-2,,Pittsburgh Steelers,31,28,24,370,313,57,1,26,429,364,65,2,18.48,-14.44,-0.77
17,Sun,30-Dec,1:00PM ET,boxscore,L,,13-3,,Carolina Panthers,14,33,17,294,110,184,1,25,374,263,111,,1.59,-19.43,0.9
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,13-Jan,4:40PM ET,boxscore,W,,14-3,,Philadelphia Eagles,20,14,25,420,283,137,1,15,250,201,49,2,10.9,-0.41,-3.17
Conf. Champ.,Sun,20-Jan,3:05PM ET,boxscore,L,OT,14-4,,Los Angeles Rams,23,26,19,290,242,48,1,19,378,301,77,1,2.51,-3.02,-2.95
