,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,4:25PM ET,boxscore,W,,Jan-00,,Seattle Seahawks,27,24,25,470,324,146,3,13,306,242,64,3,0.59,1.88,-0.38
2,Sun,16-Sep,4:25PM ET,boxscore,W,,Feb-00,,Oakland Raiders,20,19,20,385,217,168,1,21,373,281,92,,11.81,-9.02,-0.41
3,Sun,23-Sep,1:00PM ET,boxscore,L,,1-Feb,@,Baltimore Ravens,14,27,18,293,173,120,1,20,342,265,77,,-7.96,-8.96,5.82
4,Mon,1-Oct,8:15PM ET,boxscore,L,,2-Feb,,Kansas City Chiefs,23,27,21,385,226,159,1,22,446,304,142,,8.63,-15.71,2.95
5,Sun,7-Oct,1:00PM ET,boxscore,L,,3-Feb,@,New York Jets,16,34,26,436,344,92,1,18,512,189,323,2,-0.21,-16.16,-0.78
6,Sun,14-Oct,4:05PM ET,boxscore,L,,4-Feb,,Los Angeles Rams,20,23,23,357,297,60,1,24,444,174,270,1,6.06,-11.09,0.02
7,Thu,18-Oct,8:20PM ET,boxscore,W,,4-Mar,@,Arizona Cardinals,45,10,15,309,178,131,1,14,223,154,69,5,4.56,33.3,-2.09
8,Sun,28-Oct,1:00PM ET,boxscore,L,,5-Mar,@,Kansas City Chiefs,23,30,22,411,222,189,2,20,340,291,49,1,6.33,-12.25,-2.93
9,Sun,4-Nov,4:05PM ET,boxscore,L,,6-Mar,,Houston Texans,17,19,19,348,273,75,1,17,290,192,98,,3.66,-0.79,-3.27
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,18-Nov,4:05PM ET,boxscore,W,,6-Apr,@,Los Angeles Chargers,23,22,16,325,217,108,,26,479,384,95,2,6.83,-9.69,4.09
12,Sun,25-Nov,4:25PM ET,boxscore,W,,6-May,,Pittsburgh Steelers,24,17,17,308,184,124,,25,527,452,75,4,4.75,-0.71,0.64
13,Sun,2-Dec,1:00PM ET,boxscore,W,,6-Jun,@,Cincinnati Bengals,24,10,16,361,143,218,1,20,313,202,111,3,4.55,7.06,0.99
14,Sun,9-Dec,4:05PM ET,boxscore,L,,7-Jun,@,San Francisco 49ers,14,20,22,274,171,103,,24,389,305,84,1,-0.26,-6.46,3.44
15,Sat,15-Dec,8:20PM ET,boxscore,L,,8-Jun,,Cleveland Browns,16,17,22,270,238,32,2,21,309,175,134,2,-2.46,1.32,-2.94
16,Mon,24-Dec,8:15PM ET,boxscore,L,,9-Jun,@,Oakland Raiders,14,27,19,300,200,100,2,16,273,159,114,,1.32,-2.72,-12.49
17,Sun,30-Dec,4:25PM ET,boxscore,L,,10-Jun,,Los Angeles Chargers,9,23,19,370,288,82,4,17,276,160,116,4,-10.32,6.84,-7.22
