,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,W,,Jan-00,@,New Orleans Saints,48,40,26,529,417,112,,26,475,432,43,2,29.69,-19.83,-4.9
2,Sun,16-Sep,1:00PM ET,boxscore,W,,Feb-00,,Philadelphia Eagles,27,21,18,436,393,43,2,24,412,321,91,2,10.11,-5.14,1.42
3,Mon,24-Sep,8:15PM ET,boxscore,L,,1-Feb,,Pittsburgh Steelers,27,30,28,455,392,63,4,22,413,335,78,1,3.18,-9.86,2.73
4,Sun,30-Sep,1:00PM ET,boxscore,L,,2-Feb,@,Chicago Bears,10,48,16,311,251,60,3,28,483,344,139,,-5.14,-33.53,0.24
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,14-Oct,1:00PM ET,boxscore,L,,3-Feb,@,Atlanta Falcons,29,34,30,510,389,121,2,26,417,347,70,,22.99,-21.03,-2.24
7,Sun,21-Oct,1:00PM ET,boxscore,W,OT,3-Mar,,Cleveland Browns,26,23,34,456,342,114,4,17,305,186,119,1,4.49,7.86,-6.2
8,Sun,28-Oct,1:00PM ET,boxscore,L,,4-Mar,@,Cincinnati Bengals,34,37,29,576,450,126,4,21,402,264,138,,11.69,-14.21,-1.75
9,Sun,4-Nov,1:00PM ET,boxscore,L,,5-Mar,@,Carolina Panthers,28,42,23,301,219,82,2,22,407,228,179,,7.24,-18.42,-2.03
10,Sun,11-Nov,1:00PM ET,boxscore,L,,6-Mar,,Washington Redskins,3,16,29,501,398,103,4,15,286,170,116,,2.31,-1.74,-10.04
11,Sun,18-Nov,1:00PM ET,boxscore,L,,7-Mar,@,New York Giants,35,38,31,510,359,151,4,19,359,196,163,,19.19,-16.46,-5.52
12,Sun,25-Nov,1:00PM ET,boxscore,W,,7-Apr,,San Francisco 49ers,27,9,25,412,304,108,,23,342,194,148,2,15.23,0.52,1.45
13,Sun,2-Dec,1:00PM ET,boxscore,W,,7-May,,Carolina Panthers,24,17,18,315,220,95,1,27,444,276,168,4,4.28,-0.03,1.17
14,Sun,9-Dec,1:00PM ET,boxscore,L,,8-May,,New Orleans Saints,14,28,20,279,174,105,1,19,298,198,100,2,-1.15,-1.64,-10.68
15,Sun,16-Dec,1:00PM ET,boxscore,L,,9-May,@,Baltimore Ravens,12,20,12,241,156,85,1,24,370,128,242,2,-6,-6.86,2.23
16,Sun,23-Dec,1:00PM ET,boxscore,L,,10-May,@,Dallas Cowboys,20,27,27,383,320,63,2,16,232,152,80,,-5.08,0.41,-4.32
17,Sun,30-Dec,1:00PM ET,boxscore,L,,11-May,,Atlanta Falcons,32,34,22,433,341,92,1,27,489,380,109,1,14.51,-14.62,0.09
