,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,1:00PM ET,boxscore,W,,Jan-00,@,Miami Dolphins,59,10,31,643,378,265,,12,200,179,21,3,42.69,9.29,0.99
2,Sun,15-Sep,1:00PM ET,boxscore,W,,Feb-00,,Arizona Cardinals,23,17,26,440,258,182,,15,349,329,20,,11.6,-4.48,4.18
3,Sun,22-Sep,1:00PM ET,boxscore,L,,1-Feb,@,Kansas City Chiefs,28,33,29,452,249,203,,27,503,363,140,,14.5,-25.98,4.79
4,Sun,29-Sep,1:00PM ET,boxscore,L,,2-Feb,,Cleveland Browns,25,40,24,395,222,173,3,22,530,337,193,1,4.82,-23.04,3.35
5,Sun,6-Oct,1:00PM ET,boxscore,W,OT,2-Mar,@,Pittsburgh Steelers,26,23,22,277,139,138,3,18,269,192,77,2,-4.12,1.8,5.32
6,Sun,13-Oct,1:00PM ET,boxscore,W,,2-Apr,,Cincinnati Bengals,23,17,26,497,228,269,1,18,250,217,33,1,15.13,-0.57,-4.92
7,Sun,20-Oct,4:25PM ET,boxscore,W,,2-May,@,Seattle Seahawks,30,16,14,340,141,199,,20,347,241,106,2,7.42,6.98,0.09
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,3-Nov,8:20PM ET,boxscore,W,,2-Jun,,New England Patriots,37,20,26,372,162,210,2,22,342,268,74,2,14.46,5.25,-5.09
10,Sun,10-Nov,1:00PM ET,boxscore,W,,2-Jul,@,Cincinnati Bengals,49,13,20,379,243,136,1,21,307,150,157,3,24.79,18.52,-7.48
11,Sun,17-Nov,1:00PM ET,boxscore,W,,2-Aug,,Houston Texans,41,7,25,491,235,256,,16,232,110,122,2,31.56,13.24,-6.15
12,Mon,25-Nov,8:15PM ET,boxscore,W,,2-Sep,@,Los Angeles Rams,45,6,31,480,195,285,,14,221,199,22,2,32.32,8.52,-4.27
13,Sun,1-Dec,1:00PM ET,boxscore,W,,2-Oct,,San Francisco 49ers,20,17,21,283,105,178,1,15,331,157,174,1,6.4,-6.2,1.2
14,Sun,8-Dec,1:00PM ET,boxscore,W,,2-Nov,@,Buffalo Bills,24,17,18,257,139,118,1,16,209,105,104,1,-0.75,10.78,-2.47
15,Thu,12-Dec,8:20PM ET,boxscore,W,,2-Dec,,New York Jets,42,21,23,430,212,218,,13,310,207,103,2,25.99,6.5,-9.13
16,Sun,22-Dec,1:00PM ET,boxscore,W,,13-2,@,Cleveland Browns,31,15,31,481,238,243,1,17,241,184,57,1,21.45,0.38,-4.46
17,Sun,29-Dec,4:25PM ET,boxscore,W,,14-2,,Pittsburgh Steelers,28,10,19,304,81,223,2,10,168,77,91,2,-4.16,11.07,8.63
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,11-Jan,8:15PM ET,boxscore,L,,14-3,,Tennessee Titans,12,28,29,530,345,185,3,15,300,83,217,,-4.11,-10.45,-1.35
