,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,T,OT,0-0-1,,Pittsburgh Steelers,21,21,22,327,150,177,1,25,472,313,159,6,-11.02,12.04,-1.51
2,Sun,16-Sep,1:00PM ET,boxscore,L,,0-1-1,@,New Orleans Saints,18,21,16,327,234,93,1,18,275,213,62,2,2.85,2.16,-10.01
3,Thu,20-Sep,8:20PM ET,boxscore,W,,1/1/01,,New York Jets,21,17,20,323,190,133,,14,268,161,107,3,0.16,10.59,-6.79
4,Sun,30-Sep,4:05PM ET,boxscore,L,OT,1/2/01,@,Oakland Raiders,42,45,21,487,279,208,4,27,565,426,139,2,1.25,-7.23,2.16
5,Sun,7-Oct,1:00PM ET,boxscore,W,OT,2/2/01,,Baltimore Ravens,12,9,20,416,304,112,1,25,410,294,116,2,-7.48,11.13,-2.05
6,Sun,14-Oct,1:00PM ET,boxscore,L,,2/3/01,,Los Angeles Chargers,14,38,18,317,214,103,2,24,449,203,246,1,-14.57,-13.33,4.29
7,Sun,21-Oct,1:00PM ET,boxscore,L,OT,2/4/01,@,Tampa Bay Buccaneers,23,26,17,305,186,119,1,34,456,342,114,4,-7.86,-4.49,6.2
8,Sun,28-Oct,1:00PM ET,boxscore,L,,2/5/01,@,Pittsburgh Steelers,18,33,17,237,163,74,1,25,421,253,168,2,-0.68,-12.48,3.07
9,Sun,4-Nov,1:00PM ET,boxscore,L,,2/6/01,,Kansas City Chiefs,21,37,26,388,286,102,1,27,499,360,139,1,11.8,-31.68,-0.72
10,Sun,11-Nov,1:00PM ET,boxscore,W,,3/6/01,,Atlanta Falcons,28,16,19,427,216,211,1,25,382,311,71,2,15.47,-1.81,-0.18
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,25-Nov,1:00PM ET,boxscore,W,,4/6/01,@,Cincinnati Bengals,35,20,24,342,258,84,,25,372,243,129,2,18.95,-2.63,0.2
13,Sun,2-Dec,1:00PM ET,boxscore,L,,4/7/01,@,Houston Texans,13,29,20,428,397,31,4,25,384,197,187,,-3.39,-8.03,-4.03
14,Sun,9-Dec,1:00PM ET,boxscore,W,,5/7/01,,Carolina Panthers,26,20,12,348,232,116,2,22,393,297,96,1,4.41,-0.14,2.47
15,Sat,15-Dec,8:20PM ET,boxscore,W,,6/7/01,@,Denver Broncos,17,16,21,309,175,134,2,22,270,238,32,2,-1.32,2.46,2.94
16,Sun,23-Dec,1:00PM ET,boxscore,W,,7/7/01,,Cincinnati Bengals,26,18,23,493,347,146,,15,209,107,102,,22.85,-0.5,-11.29
17,Sun,30-Dec,4:25PM ET,boxscore,L,,7/8/01,@,Baltimore Ravens,24,26,18,426,376,50,3,24,463,167,296,1,9.49,-7.31,-2.95
