,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,1:00PM ET,boxscore,L,,0-1,,Los Angeles Rams,27,30,21,343,216,127,3,22,349,183,166,1,-3.24,-4.57,3.39
2,Thu,12-Sep,8:20PM ET,boxscore,L,,0-2,,Tampa Bay Buccaneers,14,20,20,352,313,39,1,16,289,189,100,,-14.8,2.31,8.98
3,Sun,22-Sep,4:05PM ET,boxscore,W,,2-Jan,@,Arizona Cardinals,38,20,21,413,240,173,1,21,248,127,121,2,19.08,3.15,-3.46
4,Sun,29-Sep,1:00PM ET,boxscore,W,,2-Feb,@,Houston Texans,16,10,19,297,203,94,3,18,264,128,136,2,-5.69,9.25,-1.44
5,Sun,6-Oct,1:00PM ET,boxscore,W,,2-Mar,,Jacksonville Jaguars,34,27,22,445,160,285,,28,507,358,149,3,16.1,-5.62,-6.41
6,Sun,13-Oct,9:30AM ET,boxscore,W,,2-Apr,@,Tampa Bay Buccaneers,37,26,17,268,209,59,1,23,407,365,42,7,-2.76,14.39,-0.09
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,27-Oct,4:05PM ET,boxscore,L,,3-Apr,@,San Francisco 49ers,13,51,12,230,100,130,3,24,388,156,232,1,-30.05,-15.84,7.14
9,Sun,3-Nov,1:00PM ET,boxscore,W,,3-May,,Tennessee Titans,30,20,22,370,214,156,1,24,431,310,121,3,9.15,-5.05,4.67
10,Sun,10-Nov,4:25PM ET,boxscore,L,,4-May,@,Green Bay Packers,16,24,26,401,281,120,2,23,388,225,163,,8.55,-17.83,0.11
11,Sun,17-Nov,1:00PM ET,boxscore,L,,5-May,,Atlanta Falcons,3,29,17,347,270,77,4,20,349,295,54,,-19.3,-6.14,1.12
12,Sun,24-Nov,1:00PM ET,boxscore,L,,6-May,@,New Orleans Saints,31,34,26,351,230,121,1,23,418,300,118,1,16.55,-15.06,-5.89
13,Sun,1-Dec,1:00PM ET,boxscore,L,,7-May,,Washington Redskins,21,29,22,278,213,65,2,20,362,114,248,,-4.35,-2.59,-0.75
14,Sun,8-Dec,1:00PM ET,boxscore,L,,8-May,@,Atlanta Falcons,20,40,27,345,245,100,4,22,461,302,159,,2.41,-19.83,-5.06
15,Sun,15-Dec,1:00PM ET,boxscore,L,,9-May,,Seattle Seahawks,24,30,28,414,269,145,3,21,428,274,154,1,6.32,-16.22,3.89
16,Sun,22-Dec,1:00PM ET,boxscore,L,,10-May,@,Indianapolis Colts,6,38,19,286,199,87,3,25,324,106,218,,-11.07,-12.71,-6.22
17,Sun,29-Dec,1:00PM ET,boxscore,L,,11-May,,New Orleans Saints,10,42,16,329,288,41,3,25,379,264,115,,-14.97,-17.52,2.88
